"Compounds ID","Score1","Name","Formula"
3386,4570.73118608518,"","C13 H10 Cl3 O4 P S2"
5812,181.000982330653,"","C8 H3 Cl N2 O13 S2"
2751,0.758080600224598,"Gallicynoic acid H","C16 H28 O4"
535,26.6591517783282,"Pentalinonside","C28 H42 O7"
945,11.6189288474484,"6-Bromo-5E,9Z,13Z,24Z-heptacosatetraenoic acid","C26 H43 Br O2"
525,141.411615054729,"LMST01031185","C28 H42 O5"
1926,149.895824358545,"4-keto pentadecanoic acid","C15 H28 O3"
3077,510.952852250548,"","C13 H20 O2"
5020,36.252019395557,"","C2 H5 Cl N2 O10 S"
5391,36.252019395557,"","C4 H3 Cl2 N4 O7 P"
4745,853807.244481113,"","C14 H23 O4 P"
1959,7.06413907156426,"9-phenyl nonanoic acid","C15 H22 O2"
2514,25.5982105690006,"Mycinonic acid III","C13 H20 O4"
2342,5.52412067611254,"Cladosporester A","C13 H24 O4"
3202,14.7847255631041,"","C10 H12 N2 O5"
4525,6.86507030386465,"Undecanedioic acid","C11 H20 O4"
2601,154.0316570303,"PG 2:0_17:0","C25 H49 O10 P"
544,5.05553464466768,"","C28 H40 O6"
2412,2.19886452287518,"Gallicynoic acid H","C16 H28 O4"
3495,250.354720997818,"Gallicynoic acid H","C16 H28 O4"
2,2.4429245882691,"ST 24:1;O5","C24 H40 O5"
121,11.6537023096652,"PI(22:0/12:0)","C43 H83 O13 P"
194,3.97779607968587,"","C16 H10 O2"
204,125.766252912215,"threo-9,10-Dihydroxystearic acid","C18 H36 O4"
914,8.42230426095518,"","C8 H16 O S3"
1112,8.42516402983448,"9,10-epoxy-11,13-docosadiynoic acid","C22 H34 O3"
3063,2.03874458880447,"Gallicynoic acid H","C16 H28 O4"
1593,161.309546782654,"","C21 H35 N6 O2 P"
1701,3.98056432309607,"Ambrettolic acid","C16 H30 O3"
4419,99.6641211973085,"","C20 H46 N2 O6 P2"
3056,124.276192166563,"PI(P-16:0/0:0)","C25 H49 O11 P"
985,284.258900025475,"","C26 H39 Cl O5"
2674,239.520349152813,"","C20 H42 N8 O8 S"
3294,43.5080737406711,"","C23 H48 N4 O5 P2 S"
3326,6170.09500428104,"","C25 H47 O11 P"
3788,237864.027778619,"","C11 H16 N4 O S"
89,44.4868936568565,"","C44 H79 N4 O7 P"
248,9.66623570004294,"Scillarenin","C24 H32 O4"
615,4.06485830595504,"","C24 H36 N6 O4"
5634,55.1447493349639,"","C6 H10 Cl3 O4 P"
4417,82.2315302297249,"","C20 H28 Cl N4 O2 P"
4993,10.5598358036993,"","C13 H22 O3"
5345,40.5721887074499,"","C13 H14 N4 O"
2852,6.30910820367572,"2-methyl-tridecanedioic acid","C14 H26 O4"
38,3.40800894499881,"1-O-(1E,3E,5E,7E,9E-heneicosapentenyl)-sn-glycerol","C24 H40 O3"
97,3.05476838059966,"",""
165,7.91417827463958,"FAHFA 2:0/22:4","C24 H38 O4"
172,707.201789657006,"testolic acid","C19 H28 O4"
213,1.84101253161788,"FAHFA 7:0/11:0","C18 H34 O4"
229,7.91417827463958,"Cholic acid","C24 H40 O5"
372,10.7749869454105,"MG(0:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","C25 H40 O4"
420,1299578.39224392,"","C18 H14 N2 O2"
455,2.30333049549999,"","C26 H44 N10 O4"
538,1.18654694506257,"","C14 H21 N O3"
666,4.55243682832005,"Mumiamicin","C15 H22 O3"
809,2.20216663070007,"MG(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C25 H38 O4"
1122,3.75013598041482,"","C24 H55 N8 O3 P S"
1178,3.50361188881937,"Lesquerolic acid","C20 H38 O3"
4763,9.0965556140208,"FAHFA 2:0/20:0","C22 H42 O4"
4534,4.45687444057891,"Gallicynoic acid H","C16 H28 O4"
824,4.98521944790274,"Mumiamicin","C15 H22 O3"
923,4.03794292865361,"2-hydroxy palmitic acid","C16 H32 O3"
1318,2.29993203896079,"","C20 H38 Cl N4 O3 P"
1538,3.25155399644226,"2-hydroxy palmitic acid","C16 H32 O3"
1698,11.169965363602,"","C20 H41 N8 O3 P S"
2070,6.47770679092376,"Resolvin T1","C22 H34 O5"
2291,9.433349465783,"","C22 H36 N6 O5"
2564,51.8718981153769,"","C16 H8 O4"
477,46.6793455513373,"Pentalinonside","C28 H42 O7"
3100,4.26041612881905,"PE O-24:6_2:0","C31 H52 N O7 P"
4408,3.31894900075047,"","C9 H3 Cl2 N2 O12 P"
5009,10.0866749839039,"Embelin","C17 H26 O4"
507,1.70543308356229,"Demethylbatatasin IV","C14 H14 O3"
604,0.713368987520353,"","C33 H48 N3 O5 P"
781,291.143177832644,"","C14 H10 O2"
873,1.14251980473082,"","C20 H38 Cl N4 O3 P"
877,6.67107385623081,"","C11 H15 N5 S"
1366,5.00361244157016,"16,16-dimethyl-PGD2","C22 H36 O5"
1526,2.25867530243489,"2-hydroxy-heptadecanoic acid","C17 H34 O3"
1754,54.4377931539998,"","C22 H32 N6 O2"
1869,13532.613216477,"","C16 H12 O2"
2019,5.24350224426529,"3E,9Z,12Z,15Z-octadecatetraenoic acid","C18 H28 O2"
2339,1172.24491365562,"methyl 8-[3,5-epidioxy-2-(3-hydroperoxy-1-pentenyl)-cyclopentyl]-octanoate","C22 H36 O6"
2669,8.9176149854153,"3-Hydroxy-11-methyl-stearic acid","C19 H38 O3"
4,4.73486576287067,"ST 24:1;O4","C24 H40 O4"
550,53.6893013646485,"","C22 H43 N4 O5 P"
575,2.1742527137206,"","C28 H42 O6"
629,10.7195307157074,"","C24 H36 N6 O4"
737,8217.42018830624,"","C23 H28 N10 O S"
1077,8.98252977988019,"","C23 H48 N10 O3 S"
4536,2.81653717564796,"3,7-Dimethyl-2E,6E-decadien-1,10-dioic acid","C12 H18 O4"
6302,731.20420691927,"3,7-Dimethyl-2E,6E-decadien-1,10-dioic acid","C12 H18 O4"
1684,410.318444913912,"","C16 H8 O4"
2301,15.9094646645397,"","C18 H39 N6 O2 P S2"
2591,85.4175831846517,"","C26 H52 N6 O S2"
3255,2.92932305024211,"N-palmitoyl tyrosine","C25 H41 N O4"
2667,30.0137650018238,"2-oxo-heneicosanoic acid","C21 H40 O3"
30,7.16055046997903,"","C30 H44 N4 O2"
99,2.81618168357916,"",""
119,3.0291125941157,"","C73 H116 N4 O11"
211,0.135912722421073,"FAHFA 3:0/26:2","C29 H52 O4"
492,2.66531817641004,"ST 24:2;O4","C24 H38 O4"
664,1.86178564192093,"","C23 H53 N4 O5 P"
753,3.5755499933038,"Ximaosteroid C","C25 H36 O4"
754,3.5755499933038,"Oblatone C","C25 H38 O5"
1090,8.29340832190666,"ST 24:2;O4","C24 H38 O4"
1164,7.64238055579303,"Stoloniferone F","C28 H46 O5"
5376,24.7357584366738,"all-trans-7-hydroxyhexadeca-2,4,8,10-tetraenoic acid","C16 H24 O3"
1209,440.421427322852,"1-O-(2R-methoxy-4Z,7Z,10Z,13Z,16Z-docosapentaenyl)-sn-glycerol","C26 H44 O4"
1815,1.04806318940437,"icas#18","C26 H37 N O7"
1991,30.2202748590278,"Ophiobolin R","C26 H38 O4"
2361,6.33537418666791,"","C20 H41 N8 O2 P S"
2593,74052.9641912677,"","C16 H20 N6 O2"
4041,610.399376875707,"","C10 H17 N O3 P2 S"
5008,55.437271249701,"Thapsic acid","C16 H30 O4"
5153,31.8677731759151,"","C5 H13 N8 P"
1243,10.3234944476912,"1,25-dihydroxy-2,4-dinor-1,3-secovitamin D3 / 1,25-dihydroxy-2,4-dinor-1,3-secocholecalciferol","C25 H42 O3"
1497,136.327872198208,"PG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C46 H79 O10 P"
1596,2.25813777293434,"PGF2alpha","C20 H34 O5"
3112,8.19835018909038,"Kammogenin","C27 H40 O5"
5,1.05591915026859,"PS(16:0/22:2(13Z,16Z))","C44 H82 N O10 P"
6,0.0429262341524707,"3-pentadecynoic acid","C15 H26 O2"
18,0.711022028296067,"16-methyl-6Z,9Z,12Z-heptadecatrienoic acid","C18 H30 O2"
23,0.0429262341524707,"4-keto pentadecanoic acid","C15 H28 O3"
69,13711.0822824573,"","C24 H32 N2 O6"
73,0.991507775105692,"9,12-hexadecadienoic acid","C16 H28 O2"
83,1.29407979584375,"2-hydroxy palmitic acid","C16 H32 O3"
94,4395.98892637438,"ST 24:1;O4","C24 H40 O4"
98,99553.5024125161,"Heterofibrin A3","C24 H34 O6"
129,0.871971848218268,"Methyl 7-oxo-11E-tetradecenoate","C15 H26 O3"
134,3.4160826722075,"","C48 H77 N4 P3"
137,0.328291444458438,"4-keto pentadecanoic acid","C15 H28 O3"
139,1.71064702816926,"2-hydroxy palmitic acid","C16 H32 O3"
149,3.89063304218778,"","C18 H26 O4"
167,1.26599965613428,"Aurentiacin","C18 H18 O4"
201,84.3689256040008,"17-hydroxy-1-oxo-2,3-seco-androstan-3-oic acid","C19 H30 O4"
209,104.43158771213,"Dryopterin","C17 H14 O7"
210,0.293641008123618,"5-methyl-2E-tridecenoic acid","C14 H26 O2"
228,4894.20362317283,"","C24 H26 N6 O"
